file_name,Caption,malignancy
ROCOv2_2023__000315.jpg,"a. The ultrasonography image acquired on the transverse plane reveals cervical extension of the thymus (arrows) located anterior to the cervical trachea (asterisk) in a one-year-old boy. The thymic length was measured on the same plane in mm. Note the typical ‘starry sky’ appearance of normal thymus tissue.Fig. 1b. On the longitudinal plane, the cervically extended thymus tissue (arrows) is just below the thyroid lobe (asterisk).",benign
ROCOv2_2023__000317.jpg,Thyroid ultrasound in Case 2: long axis showing small benign-appearing nodules in the right lobe,benign
ROCOv2_2023__000651.jpg,"Thyroid ultrasound shows a left‐sided solid hypoechoic nodule measuring 5 x 4.5 mm in size with irregular borders and multiple punctuate echogenic foci, compatible with Thyroid Imaging Reporting and Data System (TI‐RADS) 5",benign
ROCOv2_2023__000971.jpg,"Airway ultrasound image at the level of thyroid gland demonstrating laryngeal air column width (arrow). TG, thyroid gland; SM, strap muscles.",benign
ROCOv2_2023__001037.jpg,"Ultrasound image of PTC. ROI cropped by a rectangle frame drawn by the author. Region of interest (ROI), papillary thyroid carcinoma (PTC).",malignant
ROCOv2_2023__001076.jpg,Thyroid ultrasonography with doppler,benign
ROCOv2_2023__001548.jpg,Thyroid ultrasound. Thyroid ultrasound showing heterogenous echogenicity of thyroid gland compatible with thyroiditis (arrow).,benign
ROCOv2_2023__003077.jpg,Ultrasonography image of neck/thyroid. Ultrasonography of neck/thyroid showing heterogeneous nodule measuring 28 × 18 mm in the left lobe with internal calcification (shown in blue arrow). The left thyroid lobe appears to be heterogeneous with increased vascularity.,benign
ROCOv2_2023__003520.jpg,"A 63-year-old woman with a 2.0-cm left thyroid lobe nodule.The ultrasound image shows a solid hypoechoic nodule with incomplete rim calcification (short arrows) and suspicious ultrasound features of nonparallel orientation (taller than wide) and microcalcification (punctate echogenic foci) (long arrow), as well as multiple large echogenic foci. Findings from repeated ultrasound-guided fine-needle aspirations were nondiagnostic and core needle biopsy revealed benign follicular nodule with degeneration. A follow-up ultrasound performed 9 years after the initial fine-needle aspiration showed no change in the size of the nodule.",benign
ROCOv2_2023__003808.jpg,Ultrasound image showing echo-normal and homogeneous thyroid gland.,benign
ROCOv2_2023__004057.jpg,Thyroid US image demonstrates enlarged thyroid gland (1.97 × 2.20 cm) with heterogeneous echotexture granuloma at the patient’s second visit to hospital.US = ultrasound scan.,benign
ROCOv2_2023__004335.jpg,"Intracystic nonshadowing echogenic foci in a partially cystic nodule of minimally invasive follicular thyroid cancer.Transverse ultrasonography shows a predominantly cystic nodule with numerous intracystic punctate echogenic foci without comet tail artifacts and with triangular comet tail artifacts (tail size, 1.4 mm, 1.1 mm) (arrows).",malignant
ROCOv2_2023__004362.jpg,"Modified K-TIRADS 4B nodule with solid hypoechoic US pattern in a 76-year-old man.Transverse US shows a solid mildly hypoechoic nodule (11 mm) with macrocalcification and no suspicious features in the right thyroid lobe. This nodule is classified as intermediate-risk by the AACE/ACE/AME guideline, moderately suspicious (TR4) by the ACR TI-RADS, intermediate suspicion by the ATA guideline, intermediate-risk (TIRADS 4) by the EU-TIRADS, and intermediate suspicion (TIRADS 4) by the K-TIRADS. Final diagnosis: papillary thyroid carcinoma by surgery. K-TIRADS, Korean Thyroid Imaging Reporting and Data System; US, ultrasonography; AACE, American Association of Clinical Endocrinologists; ACE, American College of Endocrinology; AME, Associazione Medici Endocrinologi; ACR TI-RADS, American College of Radiology Thyroid Imaging Reporting and Data System; ATA, American Thyroid Association; EU-TIRADS, European Thyroid Imaging Reporting and Data System.",malignant
ROCOv2_2023__004519.jpg, A solid nodule in the left lobe of the thyroid by ultrasound examination.,benign
ROCOv2_2023__004542.jpg,Carotid Artery DiameterThe carotid artery vessel diameter was measured in transverse at the height of the thyroid gland or 3 cm below the carotid bulb if no thyroid gland were present. Pulse wave Doppler measurements were obtained at this same location. The diameter was transferred to the longitudinal image to allow the ultrasound machine to calculate the area and flow volume.,benign
ROCOv2_2023__004872.jpg,"Ultrasonography image of the thyroid reveals a suspicious hypoechoic nodule with irregular border seen at the left thyroid lobe measuring 16.4 × 13.0 mm in diameter, outlined by “+”. Speckles of microcalcification are seen at the periphery. C = carotid artery, LT = left, IJV = internal jugular vein, T = trachea.",benign
ROCOv2_2023__005469.jpg,"Ultrasound of the patient four years after the initial presentation. The image shows a hypoechoic nodule in the right thyroid lobe, measuring 0.4 x 0.3 cm. Rt: right. Thy: thyroid. W: width. H: height",benign
ROCOv2_2023__006527.jpg,"Ultrasound of neck. The diameter of the fistula is significantly thickened, and the boundary between it and the surrounding tissues is unclear. Thin arrow, left superior thyroid lobe. White arrow, fistula.",benign
ROCOv2_2023__007769.jpg,"Thyroid ultrasonography.Thyroid ultrasonography showing an enlarged gland with heterogeneous parenchyma with associated hypervascularity, suggesting thyroiditis.",benign
ROCOv2_2023__008737.jpg,"Ultrasound image showing the ectopic thyroid. Ultrasound image in a transect through the upper limit of the hyoid bone shows a well-limited tissue structure, with a coarse oval shape, hyperechoic in relation to the homogeneous muscles, reminiscent of the thyroid parenchyma. It should be noted that the thyroid cavity was empty on ultrasound examination.Arrows 1 and 2 allow the estimation of the volume of the ectopic thyroid. It measures 21 × 9 mm.",benign
ROCOv2_2023__009038.jpg, Ectopic thymus tissue adjacent to the left thyroid lobe in a 33 year old female patient. The ultrasound image in transverse and longitudinal directions shows slightly isoechogenic tissue with punctuate hyperdense lesions (histologically confirmed). (A higher resolution / colour version of this figure is available in the electronic copy of the article).,benign
